tile_x,tile_y,zoom
4295,2929,13
4295,2930,13
4297,2928,13
4298,2929,13
4298,2932,13
4299,2927,13
4299,2936,13
4300,2927,13
4300,2936,13
4301,2934,13
4301,2936,13
4302,2936,13
4303,2929,13
4304,2928,13
4304,2929,13
4305,2928,13
4305,2933,13
4305,2934,13
4306,2933,13
4308,2929,13
4308,2933,13
4308,2934,13
4309,2929,13
4310,2928,13
4311,2930,13
4311,2931,13
4312,2930,13
